0.23	0.20	0.18	0.16	0.14	0.34	0.41	0.46	0.53	0.59	0.65	0.70	0.73	0.75	0.76	0.74	0.75	0.79	0.61	0.50	0.42	0.36	0.31	0.27
0.09	0.08	0.07	0.06	0.06	0.24	0.38	0.42	0.39	0.37	0.37	0.36	0.36	0.36	0.34	0.33	0.30	0.27	0.22	0.18	0.16	0.14	0.12	0.10
0.07	0.06	0.06	0.05	0.04	0.21	0.36	0.44	0.45	0.40	0.36	0.33	0.31	0.30	0.28	0.26	0.23	0.21	0.17	0.15	0.13	0.11	0.09	0.08
0.07	0.06	0.05	0.05	0.04	0.20	0.35	0.45	0.49	0.47	0.41	0.36	0.33	0.30	0.28	0.26	0.23	0.20	0.17	0.14	0.12	0.11	0.09	0.08
0.07	0.06	0.06	0.05	0.05	0.18	0.33	0.44	0.50	0.51	0.46	0.39	0.35	0.31	0.29	0.26	0.23	0.21	0.17	0.15	0.13	0.11	0.10	0.08
0.08	0.07	0.06	0.05	0.05	0.16	0.31	0.43	0.51	0.54	0.51	0.44	0.39	0.35	0.32	0.29	0.26	0.22	0.19	0.16	0.14	0.12	0.11	0.09
0.09	0.08	0.07	0.06	0.05	0.14	0.26	0.38	0.48	0.54	0.56	0.51	0.45	0.40	0.36	0.33	0.29	0.25	0.21	0.18	0.16	0.14	0.12	0.10
0.11	0.09	0.08	0.07	0.06	0.08	0.16	0.26	0.38	0.48	0.55	0.57	0.54	0.48	0.43	0.39	0.35	0.30	0.25	0.21	0.18	0.16	0.14	0.12
0.12	0.11	0.09	0.08	0.07	0.08	0.11	0.14	0.21	0.31	0.42	0.52	0.57	0.58	0.53	0.47	0.41	0.36	0.29	0.25	0.21	0.18	0.16	0.14
0.14	0.12	0.11	0.09	0.08	0.09	0.11	0.13	0.15	0.18	0.25	0.35	0.46	0.55	0.59	0.59	0.53	0.44	0.35	0.30	0.25	0.22	0.19	0.16
0.15	0.14	0.12	0.10	0.09	0.09	0.10	0.12	0.13	0.15	0.17	0.23	0.33	0.44	0.53	0.58	0.59	0.53	0.41	0.33	0.28	0.24	0.21	0.18
0.15	0.13	0.12	0.10	0.09	0.09	0.10	0.11	0.12	0.13	0.14	0.17	0.24	0.35	0.46	0.54	0.58	0.55	0.42	0.34	0.28	0.24	0.21	0.18
0.15	0.13	0.11	0.10	0.09	0.09	0.09	0.10	0.11	0.12	0.13	0.14	0.19	0.29	0.40	0.50	0.56	0.55	0.41	0.33	0.27	0.23	0.20	0.17
0.15	0.13	0.11	0.10	0.09	0.09	0.10	0.11	0.12	0.13	0.14	0.15	0.17	0.24	0.35	0.48	0.55	0.55	0.41	0.33	0.27	0.23	0.20	0.17
0.14	0.12	0.11	0.09	0.08	0.09	0.10	0.11	0.13	0.14	0.16	0.17	0.18	0.21	0.30	0.42	0.51	0.54	0.39	0.32	0.26	0.22	0.19	0.16
0.15	0.13	0.11	0.10	0.09	0.10	0.12	0.15	0.18	0.21	0.23	0.26	0.27	0.28	0.31	0.39	0.51	0.56	0.41	0.33	0.27	0.23	0.20	0.17
